id,client_name,client_country,order_date,order_value
1,Wheeler,Czech Republic,2022-03-04,36896.32
2,Cora,Mexico,2022-01-31,31485.65
3,Horten,China,2022-01-29,61856.15
4,Lowrance,Mexico,2021-06-06,92768.46
5,Barnebas,Chad,2021-09-02,81045.19
6,Dena,China,2022-02-27,10597.95
7,Hayden,Russia,2022-02-02,5736.56
8,Ellsworth,China,2021-10-25,82978.51
9,Forrest,Argentina,2021-11-18,12569.45
10,Kittie,Indonesia,2021-11-25,68544.54
11,Sybila,Russia,2021-11-30,35362.3
12,Lucie,China,2021-12-25,45823.06
13,Anet,Egypt,2022-03-13,66749.07
14,Henri,Tanzania,2021-07-06,14948.8
15,Louisa,France,2021-07-02,59752.44
16,Quentin,China,2022-01-05,88738.59
17,Vidovik,China,2021-09-25,16529.21
18,Franklyn,China,2021-12-30,69198.97
19,Conni,China,2022-01-11,9667.29
20,Sayre,Malaysia,2021-11-30,63150.71
21,Nerita,Syria,2021-07-08,42310.01
22,Conni,Bosnia and Herzegovina,2021-08-07,68805.0
23,Joellen,Portugal,2021-09-27,11427.53
24,Regen,Canada,2021-10-08,2788.0
25,Elianore,Russia,2022-01-30,99743.52
26,Sisile,Brazil,2022-04-12,4759.79
27,Torrence,Portugal,2021-11-30,53436.43
28,Arne,China,2022-04-28,24516.67
29,Burr,Russia,2021-10-03,89462.27
30,Dedie,Egypt,2021-06-16,48842.15
31,Shelbi,Indonesia,2021-11-24,7250.67
32,Ronny,Sweden,2022-02-07,65042.05
33,Penelope,Indonesia,2021-10-21,51587.5
34,Dasie,Indonesia,2021-10-11,18402.59
35,Jervis,China,2021-12-28,65014.34
36,Dorree,Vietnam,2021-06-23,15500.7
37,Paolina,Netherlands,2022-03-12,87254.38
38,Cross,Indonesia,2021-11-16,32863.98
39,Kaleena,Pakistan,2021-07-03,43817.93
40,Allina,Philippines,2021-06-01,72901.54
41,Terry,China,2022-05-10,83436.79
42,Mart,China,2022-03-20,60625.76
43,Shaun,Mongolia,2021-10-14,48586.76
44,Drusilla,China,2021-08-22,63924.51
45,Hendrik,Indonesia,2021-07-12,64626.16
46,Colet,Sweden,2021-06-15,52038.16
47,Zach,Brazil,2021-12-03,3668.69
48,Margret,Colombia,2022-01-15,66373.9
49,Wilma,Tanzania,2021-09-02,93574.61
50,Patric,China,2021-06-05,99591.89
